Well,Treatment/ID,Timepoint (h),Mean Firing Rate (Hz),Replicate
C2,Tripli TIC10,4,0,2
C3,Tripli DMSO,4,0.000104,2
C4,Tripli Tyr9,4,0,2
C5,Tripli TIC10,4,0,2
C6,Tripli DMSO,4,0,2
C7,Tripli Tyr9,4,0.000208,2
C8,Tripli TIC10,4,0.000625,2
D1,WT Tyr9,4,0,2
D2,WT TIC10,4,0,2
D3,WT DMSO,4,0,2
D4,WT Tyr9,4,0.024698,2
D5,WT TIC10,4,0,2
D6,WT DMSO,4,0,2
D7,WT Tyr9,4,0.037203,2
D8,WT TIC10,4,0,2
E1,WT Tyr9,4,0,2
E2,WT TIC10,4,0.000208,2
E3,WT DMSO,4,0.03293,2
E4,WT Tyr9,4,0,2
E5,WT TIC10,4,0,2
E6,WT DMSO,4,0,2
E7,WT Tyr9,4,0,2
E8,WT TIC10,4,0.000208,2
F1,WT Tyr9,4,0,2
F2,WT TIC10,4,0.000104,2
F3,WT DMSO,4,0.017299,2
F4,WT Tyr9,4,0,2
F5,WT TIC10,4,0.000104,2
F6,WT DMSO,4,0.000208,2
F7,WT Tyr9,4,0,2
F8,WT TIC10,4,0.000104,2
A1,Tripli Tyr9,8,0.000104,2
A2,Tripli TIC10,8,0,2
A3,Tripli DMSO,8,0,2
A4,Tripli Tyr9,8,0,2
A5,Tripli TIC10,8,0.000104,2
A6,Tripli DMSO,8,0.000104,2
A7,Tripli Tyr9,8,0,2
A8,Tripli TIC10,8,0,2
B1,Tripli Tyr9,8,0,2
B2,Tripli TIC10,8,0,2
B3,Tripli DMSO,8,0,2
B4,Tripli Tyr9,8,0.000104,2
B5,Tripli TIC10,8,0,2
B6,Tripli DMSO,8,0.000104,2
B7,Tripli Tyr9,8,0.000104,2
B8,Tripli TIC10,8,0.000208,2
C1,Tripli Tyr9,8,0,2
C2,Tripli TIC10,8,0.006253,2
C3,Tripli DMSO,8,0,2
C4,Tripli Tyr9,8,0,2
C5,Tripli TIC10,8,0.000104,2
C6,Tripli DMSO,8,0.000104,2
C7,Tripli Tyr9,8,0,2
C8,Tripli TIC10,8,0.010629,2
D1,WT Tyr9,8,0.003439,2
D2,WT TIC10,8,0,2
D3,WT DMSO,8,0,2
D4,WT Tyr9,8,0.085973,2
D5,WT TIC10,8,0.000104,2
D6,WT DMSO,8,0,2
D7,WT Tyr9,8,0.011359,2
D8,WT TIC10,8,0.000104,2
E1,WT Tyr9,8,0,2
E2,WT TIC10,8,0.000104,2
E3,WT DMSO,8,0.036369,2
E4,WT Tyr9,8,0,2
E5,WT TIC10,8,0,2
E6,WT DMSO,8,0.000104,2
E7,WT Tyr9,8,0,2
E8,WT TIC10,8,0,2
F1,WT Tyr9,8,0,2
F2,WT TIC10,8,0,2
F3,WT DMSO,8,0.176845,2
F4,WT Tyr9,8,0,2
F5,WT TIC10,8,0.000104,2
F6,WT DMSO,8,0,2
F7,WT Tyr9,8,0,2
F8,WT TIC10,8,0,2
A1,Tripli Tyr9,24,0,2
A2,Tripli TIC10,24,0,2
A3,Tripli DMSO,24,0,2
A4,Tripli Tyr9,24,0.000104,2
A5,Tripli TIC10,24,0,2
A6,Tripli DMSO,24,0,2
A7,Tripli Tyr9,24,0,2
A8,Tripli TIC10,24,0,2
B1,Tripli Tyr9,24,0,2
B2,Tripli TIC10,24,0,2
B3,Tripli DMSO,24,0,2
B4,Tripli Tyr9,24,0.000104,2
B5,Tripli TIC10,24,0,2
B6,Tripli DMSO,24,0,2
B7,Tripli Tyr9,24,0,2
B8,Tripli TIC10,24,0,2
C1,Tripli Tyr9,24,0,2
C2,Tripli TIC10,24,0.002189,2
C3,Tripli DMSO,24,0,2
C4,Tripli Tyr9,24,0,2
C5,Tripli TIC10,24,0,2
C6,Tripli DMSO,24,0.000104,2
C7,Tripli Tyr9,24,0,2
C8,Tripli TIC10,24,0.056401,2
D1,WT Tyr9,24,0.000313,2
D2,WT TIC10,24,0,2
D3,WT DMSO,24,0,2
D4,WT Tyr9,24,0.000104,2
D5,WT TIC10,24,0.000104,2
D6,WT DMSO,24,0.156902,2
D7,WT Tyr9,24,0,2
D8,WT TIC10,24,0.005004,2
E1,WT Tyr9,24,0.000104,2
E2,WT TIC10,24,0,2
E3,WT DMSO,24,0.021059,2
E4,WT Tyr9,24,0,2
E5,WT TIC10,24,0,2
E6,WT DMSO,24,0.000104,2
E7,WT Tyr9,24,0,2
E8,WT TIC10,24,0,2
F1,WT Tyr9,24,0,2
F2,WT TIC10,24,0,2
F3,WT DMSO,24,0.024291,2
F4,WT Tyr9,24,0,2
F5,WT TIC10,24,0,2
F6,WT DMSO,24,0,2
F7,WT Tyr9,24,0,2
F8,WT TIC10,24,0.000313,2
A1,Tripli Tyr9,48,0,2
A2,Tripli TIC10,48,0,2
A3,Tripli DMSO,48,0,2
A4,Tripli Tyr9,48,0,2
A5,Tripli TIC10,48,0,2
A6,Tripli DMSO,48,0,2
A7,Tripli Tyr9,48,0.000104,2
A8,Tripli TIC10,48,0,2
B1,Tripli Tyr9,48,0,2
B2,Tripli TIC10,48,0,2
B3,Tripli DMSO,48,0,2
B4,Tripli Tyr9,48,0,2
B5,Tripli TIC10,48,0.000104,2
B6,Tripli DMSO,48,0.008542,2
B7,Tripli Tyr9,48,0.000104,2
B8,Tripli TIC10,48,0,2
C1,Tripli Tyr9,48,0,2
C2,Tripli TIC10,48,0.001146,2
C3,Tripli DMSO,48,0.000104,2
C4,Tripli Tyr9,48,0,2
C5,Tripli TIC10,48,0,2
C6,Tripli DMSO,48,0,2
C7,Tripli Tyr9,48,0,2
C8,Tripli TIC10,48,0,2
D1,WT Tyr9,48,0.000417,2
D2,WT TIC10,48,0,2
D3,WT DMSO,48,0,2
D4,WT Tyr9,48,0,2
D5,WT TIC10,48,0.000104,2
D6,WT DMSO,48,0,2
D7,WT Tyr9,48,0.000521,2
D8,WT TIC10,48,0.000104,2
E1,WT Tyr9,48,0,2
E2,WT TIC10,48,0,2
E3,WT DMSO,48,0.049583,2
E4,WT Tyr9,48,0,2
E5,WT TIC10,48,0,2
E6,WT DMSO,48,0.000104,2
E7,WT Tyr9,48,0,2
E8,WT TIC10,48,0,2
F1,WT Tyr9,48,0.000312,2
F2,WT TIC10,48,0.000104,2
F3,WT DMSO,48,0.008333,2
F4,WT Tyr9,48,0,2
F5,WT TIC10,48,0,2
F6,WT DMSO,48,0,2
F7,WT Tyr9,48,0,2
F8,WT TIC10,48,0.005417,2
A1,Tripli Tyr9,72,0,2
A2,Tripli TIC10,72,0,2
A3,Tripli DMSO,72,0.000104,2
A4,Tripli Tyr9,72,0,2
A5,Tripli TIC10,72,0.000104,2
A6,Tripli DMSO,72,0,2
A7,Tripli Tyr9,72,0,2
A8,Tripli TIC10,72,0,2
B1,Tripli Tyr9,72,0,2
B2,Tripli TIC10,72,0.000104,2
B3,Tripli DMSO,72,0,2
B4,Tripli Tyr9,72,0,2
B5,Tripli TIC10,72,0,2
B6,Tripli DMSO,72,0.000208,2
B7,Tripli Tyr9,72,0,2
B8,Tripli TIC10,72,0,2
C1,Tripli Tyr9,72,0,2
C2,Tripli TIC10,72,0,2
C3,Tripli DMSO,72,0,2
C4,Tripli Tyr9,72,0.000104,2
C5,Tripli TIC10,72,0,2
C6,Tripli DMSO,72,0,2
C7,Tripli Tyr9,72,0,2
C8,Tripli TIC10,72,0,2
D1,WT Tyr9,72,0,2
D2,WT TIC10,72,0,2
D3,WT DMSO,72,0,2
D4,WT Tyr9,72,0,2
D5,WT TIC10,72,0,2
D6,WT DMSO,72,0.033854,2
D7,WT Tyr9,72,0.001458,2
D8,WT TIC10,72,0,2
E1,WT Tyr9,72,0,2
E2,WT TIC10,72,0,2
E3,WT DMSO,72,0.012812,2
E4,WT Tyr9,72,0.005625,2
E5,WT TIC10,72,0,2
E6,WT DMSO,72,0,2
E7,WT Tyr9,72,0.000104,2
E8,WT TIC10,72,0.000104,2
F1,WT Tyr9,72,0,2
F2,WT TIC10,72,0,2
F3,WT DMSO,72,0.003438,2
F4,WT Tyr9,72,0.000104,2
F5,WT TIC10,72,0,2
F6,WT DMSO,72,0,2
F7,WT Tyr9,72,0,2
F8,WT TIC10,72,0.028542,2
