,column,value,Compound,Concentration (M)
135,Entinostat_0.5μM,1.852147,Entinostat,5e-07
136,Entinostat_0.5μM,0.288542,Entinostat,5e-07
137,Entinostat_0.5μM,0.649472,Entinostat,5e-07
138,Entinostat_0.5μM,0.701396,Entinostat,5e-07
139,Entinostat_0.5μM,0.237587,Entinostat,5e-07
140,Entinostat_1μM,2.323844,Entinostat,1e-06
141,Entinostat_1μM,1.044822,Entinostat,1e-06
142,Entinostat_1μM,0.971377,Entinostat,1e-06
143,Entinostat_1μM,0.572277,Entinostat,1e-06
144,Entinostat_1μM,0.976777,Entinostat,1e-06
145,Entinostat_1μM,1.383415,Entinostat,1e-06
146,Entinostat_1μM,0.693838,Entinostat,1e-06
147,Entinostat_1μM,0.800492,Entinostat,1e-06
148,Entinostat_1μM,1.588983,Entinostat,1e-06
149,Entinostat_1μM,0.910546,Entinostat,1e-06
150,Entinostat_1μM,0.235364,Entinostat,1e-06
151,Entinostat_1μM,0.53369,Entinostat,1e-06
152,Entinostat_1μM,0.55877,Entinostat,1e-06
153,Entinostat_1μM,1.927133,Entinostat,1e-06
154,Entinostat_2.5μM,1.236731,Entinostat,2.5e-06
155,Entinostat_2.5μM,0.958399,Entinostat,2.5e-06
156,Entinostat_2.5μM,1.297989,Entinostat,2.5e-06
157,Entinostat_2.5μM,0.690009,Entinostat,2.5e-06
158,Entinostat_2.5μM,1.330904,Entinostat,2.5e-06
159,Entinostat_2.5μM,1.007506,Entinostat,2.5e-06
160,Entinostat_2.5μM,0.756265,Entinostat,2.5e-06
161,Entinostat_2.5μM,0.551769,Entinostat,2.5e-06
162,Entinostat_2.5μM,1.226532,Entinostat,2.5e-06
163,Entinostat_2.5μM,0.997376,Entinostat,2.5e-06
164,Entinostat_2.5μM,0.465201,Entinostat,2.5e-06
165,Entinostat_2.5μM,0.435454,Entinostat,2.5e-06
166,Entinostat_2.5μM,0.460014,Entinostat,2.5e-06
167,Entinostat_2.5μM,0.285886,Entinostat,2.5e-06
168,FCCP_0.5μM,0.897914,FCCP,5e-07
169,FCCP_0.5μM,0.808242,FCCP,5e-07
170,FCCP_0.5μM,0.74857,FCCP,5e-07
171,FCCP_0.5μM,0.925108,FCCP,5e-07
172,FCCP_0.5μM,0.898418,FCCP,5e-07
173,FCCP_0.5μM,0.978676,FCCP,5e-07
174,FCCP_0.5μM,0.512461,FCCP,5e-07
175,FCCP_0.5μM,1.240755,FCCP,5e-07
176,FCCP_0.5μM,0.609259,FCCP,5e-07
177,FCCP_0.5μM,0.300053,FCCP,5e-07
178,FCCP_0.5μM,0.308137,FCCP,5e-07
179,FCCP_0.5μM,0.741099,FCCP,5e-07
180,FCCP_0.5μM,0.157136,FCCP,5e-07
181,FCCP_1μM,0.865667,FCCP,1e-06
182,FCCP_1μM,0.937462,FCCP,1e-06
183,FCCP_1μM,0.960212,FCCP,1e-06
184,FCCP_1μM,0.710539,FCCP,1e-06
185,FCCP_1μM,1.373222,FCCP,1e-06
186,FCCP_1μM,0.699063,FCCP,1e-06
187,FCCP_1μM,0.413569,FCCP,1e-06
188,FCCP_1μM,0.261378,FCCP,1e-06
189,FCCP_1μM,0.547874,FCCP,1e-06
190,FCCP_1μM,0.349157,FCCP,1e-06
191,FCCP_1μM,0.198064,FCCP,1e-06
192,FCCP_1μM,0.601311,FCCP,1e-06
193,FCCP_1μM,0.163188,FCCP,1e-06
194,FCCP_2.5μM,0.571119,FCCP,2.5e-06
195,FCCP_2.5μM,0.648749,FCCP,2.5e-06
196,FCCP_2.5μM,0.492868,FCCP,2.5e-06
197,FCCP_2.5μM,0.564386,FCCP,2.5e-06
198,FCCP_2.5μM,0.968869,FCCP,2.5e-06
199,FCCP_2.5μM,0.531715,FCCP,2.5e-06
200,FCCP_2.5μM,0.310662,FCCP,2.5e-06
201,FCCP_2.5μM,0.236568,FCCP,2.5e-06
202,FCCP_2.5μM,0.572118,FCCP,2.5e-06
203,FCCP_2.5μM,0.196361,FCCP,2.5e-06
204,FCCP_2.5μM,0.867847,FCCP,2.5e-06
205,FCCP_2.5μM,0.510702,FCCP,2.5e-06
206,FCCP_2.5μM,1.72058,FCCP,2.5e-06
207,GC,1.168682,GC,0.0
