,column,value,Compound,Concentration (M)
139,Chloroquine_2.5μΜ,0.962383,Chloroquine,2.50E-06
140,Chloroquine_2.5μΜ,0.861664,Chloroquine,2.50E-06
141,Chloroquine_2.5μΜ,1.347859,Chloroquine,2.50E-06
142,Chloroquine_2.5μΜ,0.723688,Chloroquine,2.50E-06
143,Chloroquine_2.5μΜ,1.278476,Chloroquine,2.50E-06
144,Chloroquine_5μM,0.932405,Chloroquine,5.00E-06
145,Chloroquine_5μM,1.132706,Chloroquine,5.00E-06
146,Chloroquine_5μM,0.720715,Chloroquine,5.00E-06
147,Chloroquine_5μM,0.940786,Chloroquine,5.00E-06
148,Chloroquine_5μM,0.819954,Chloroquine,5.00E-06
149,Chloroquine_5μM,0.932405,Chloroquine,5.00E-06
150,Chloroquine_5μM,1.132706,Chloroquine,5.00E-06
151,Chloroquine_5μM,0.720715,Chloroquine,5.00E-06
152,Chloroquine_5μM,0.940786,Chloroquine,5.00E-06
153,Chloroquine_5μM,0.819954,Chloroquine,5.00E-06
154,Chloroquine_5μM,1.032392,Chloroquine,5.00E-06
155,Chloroquine_5μM,1.058777,Chloroquine,5.00E-06
156,Chloroquine_5μM,1.006048,Chloroquine,5.00E-06
157,Chloroquine_5μM,0.966041,Chloroquine,5.00E-06
158,Chloroquine_5μM,0.920373,Chloroquine,5.00E-06
159,Duloxetine_0.5μΜ,0.995089,Duloxetine,5.00E-07
160,Duloxetine_0.5μΜ,0.791165,Duloxetine,5.00E-07
161,Duloxetine_0.5μΜ,1.161341,Duloxetine,5.00E-07
162,Duloxetine_0.5μΜ,1.156517,Duloxetine,5.00E-07
163,Duloxetine_0.5μΜ,1.140023,Duloxetine,5.00E-07
164,Duloxetine_0.5μΜ,0.986381,Duloxetine,5.00E-07
165,Duloxetine_0.5μΜ,1.028944,Duloxetine,5.00E-07
166,Duloxetine_0.5μΜ,1.178301,Duloxetine,5.00E-07
167,Duloxetine_0.5μΜ,0.832589,Duloxetine,5.00E-07
168,Duloxetine_0.5μΜ,1.347371,Duloxetine,5.00E-07
169,Duloxetine_100nM,1.077246,Duloxetine,1.00E-07
170,Duloxetine_100nM,0.972297,Duloxetine,1.00E-07
171,Duloxetine_100nM,0.880548,Duloxetine,1.00E-07
172,Duloxetine_100nM,1.045404,Duloxetine,1.00E-07
173,Duloxetine_100nM,1.048554,Duloxetine,1.00E-07
174,Duloxetine_10nM,1.077246,Duloxetine,1.00E-08
175,Duloxetine_10nM,0.972297,Duloxetine,1.00E-08
176,Duloxetine_10nM,0.880548,Duloxetine,1.00E-08
177,Duloxetine_10nM,1.045404,Duloxetine,1.00E-08
178,Duloxetine_10nM,1.048554,Duloxetine,1.00E-08
179,Duloxetine_10nM,1.053196,Duloxetine,1.00E-08
180,Duloxetine_10nM,1.049751,Duloxetine,1.00E-08
181,Duloxetine_10nM,0.923758,Duloxetine,1.00E-08
182,Duloxetine_10nM,1.040898,Duloxetine,1.00E-08
183,Duloxetine_10μM,0.226,Duloxetine,1.00E-05
184,Duloxetine_10μM,0.211519,Duloxetine,1.00E-05
185,Duloxetine_10μM,0.20932,Duloxetine,1.00E-05
186,Duloxetine_10μM,0.223169,Duloxetine,1.00E-05
187,Duloxetine_10μM,0.172216,Duloxetine,1.00E-05
188,Duloxetine_10μM,0.29028741,Duloxetine,1.00E-05
189,Duloxetine_10μM,0.231286256,Duloxetine,1.00E-05
190,Duloxetine_10μM,0.21792,Duloxetine,1.00E-05
191,Duloxetine_10μM,0.219123,Duloxetine,1.00E-05
192,Duloxetine_10μM,0.204353,Duloxetine,1.00E-05
193,Duloxetine_1μM,0.82428,Duloxetine,1.00E-06
194,Duloxetine_1μM,1.137669,Duloxetine,1.00E-06
195,Duloxetine_1μM,0.872587,Duloxetine,1.00E-06
196,Duloxetine_1μM,1.014925,Duloxetine,1.00E-06
197,Duloxetine_1μM,0.893759,Duloxetine,1.00E-06
198,Duloxetine_1μM,0.78880966,Duloxetine,1.00E-06
199,Duloxetine_1μM,0.689467786,Duloxetine,1.00E-06
200,Duloxetine_1μM,1.166196,Duloxetine,1.00E-06
201,Duloxetine_1μM,1.216967,Duloxetine,1.00E-06
202,Duloxetine_1μM,0.91683,Duloxetine,1.00E-06
203,Duloxetine_1μM,0.948733,Duloxetine,1.00E-06
204,Duloxetine_1μM,1.066438,Duloxetine,1.00E-06
205,Duloxetine_1μM,0.988844,Duloxetine,1.00E-06
206,Duloxetine_1μM,1.210517,Duloxetine,1.00E-06
207,Duloxetine_1μM,0.917416,Duloxetine,1.00E-06
208,Duloxetine_1μM,0.802541,Duloxetine,1.00E-06
209,Duloxetine_1μM,0.915506,Duloxetine,1.00E-06
210,Duloxetine_1μM,1.146767,Duloxetine,1.00E-06
211,Duloxetine_1μM,0.942012,Duloxetine,1.00E-06
212,Duloxetine_1μM,0.82201,Duloxetine,1.00E-06
213,Duloxetine_1μM,0.747098,Duloxetine,1.00E-06
214,Duloxetine_1μM,0.847414,Duloxetine,1.00E-06
215,Duloxetine_1μM,0.781794,Duloxetine,1.00E-06
216,Duloxetine_1μM,1.380628,Duloxetine,1.00E-06
217,Duloxetine_2.5μΜ,0.868292,Duloxetine,2.50E-06
218,Duloxetine_2.5μΜ,0.861723,Duloxetine,2.50E-06
219,Duloxetine_2.5μΜ,1.057087,Duloxetine,2.50E-06
220,Duloxetine_2.5μΜ,1.00083,Duloxetine,2.50E-06
221,Duloxetine_2.5μΜ,0.847631,Duloxetine,2.50E-06
222,Duloxetine_2.5μΜ,0.490914,Duloxetine,2.50E-06
223,Duloxetine_2.5μΜ,0.366903,Duloxetine,2.50E-06
224,Duloxetine_2.5μΜ,0.607777,Duloxetine,2.50E-06
225,Duloxetine_2.5μΜ,0.549481,Duloxetine,2.50E-06
226,Duloxetine_2.5μΜ,0.509025,Duloxetine,2.50E-06
227,Duloxetine_5μM,0.656233,Duloxetine,5.00E-06
228,Duloxetine_5μM,0.663265,Duloxetine,5.00E-06
229,Duloxetine_5μM,0.585655,Duloxetine,5.00E-06
230,Duloxetine_5μM,0.6762,Duloxetine,5.00E-06
231,Duloxetine_5μM,0.565741,Duloxetine,5.00E-06
232,Duloxetine_5μM,0.710815,Duloxetine,5.00E-06
233,Duloxetine_5μM,0.589214,Duloxetine,5.00E-06
234,Duloxetine_5μM,0.63259,Duloxetine,5.00E-06
235,Duloxetine_5μM,0.706993,Duloxetine,5.00E-06
236,Duloxetine_5μM,0.644495,Duloxetine,5.00E-06
237,Entinostat_0.5μΜ,0.983643,Entinostat,5.00E-07
238,Entinostat_0.5μΜ,0.909812,Entinostat,5.00E-07
239,Entinostat_0.5μΜ,0.972896,Entinostat,5.00E-07
240,Entinostat_0.5μΜ,1.101651,Entinostat,5.00E-07
241,Entinostat_0.5μΜ,1.005745,Entinostat,5.00E-07
242,Entinostat_0.5μΜ,0.948693,Entinostat,5.00E-07
243,Entinostat_0.5μΜ,0.947097,Entinostat,5.00E-07
244,Entinostat_0.5μΜ,1.551558,Entinostat,5.00E-07
245,Entinostat_0.5μΜ,0.786648,Entinostat,5.00E-07
246,Entinostat_0.5μΜ,1.49079,Entinostat,5.00E-07
247,Entinostat_100nM,0.939248,Entinostat,1.00E-07
248,Entinostat_100nM,0.966589,Entinostat,1.00E-07
249,Entinostat_100nM,0.821107,Entinostat,1.00E-07
250,Entinostat_100nM,1.243769,Entinostat,1.00E-07
251,Entinostat_10nM,1.027074,Entinostat,1.00E-08
252,Entinostat_10nM,1.001976,Entinostat,1.00E-08
253,Entinostat_10nM,0.875839,Entinostat,1.00E-08
254,Entinostat_10nM,1.360897,Entinostat,1.00E-08
255,Entinostat_10μM,1.05093,Entinostat,1.00E-05
256,Entinostat_10μM,0.986164,Entinostat,1.00E-05
257,Entinostat_10μM,1.016562,Entinostat,1.00E-05
258,Entinostat_10μM,0.659659,Entinostat,1.00E-05
259,Entinostat_10μM,0.767652,Entinostat,1.00E-05
260,Entinostat_10μM,0.92647,Entinostat,1.00E-05
261,Entinostat_10μM,0.91833,Entinostat,1.00E-05
262,Entinostat_10μM,0.840081,Entinostat,1.00E-05
263,Entinostat_10μM,0.853595,Entinostat,1.00E-05
264,Entinostat_10μM,0.909841,Entinostat,1.00E-05
265,Entinostat_1μM,0.931169,Entinostat,1.00E-06
266,Entinostat_1μM,1.293033,Entinostat,1.00E-06
267,Entinostat_1μM,0.983903,Entinostat,1.00E-06
268,Entinostat_1μM,1.067922,Entinostat,1.00E-06
269,Entinostat_1μM,0.825831,Entinostat,1.00E-06
270,Entinostat_1μM,0.942399,Entinostat,1.00E-06
271,Entinostat_1μM,0.934845,Entinostat,1.00E-06
272,Entinostat_1μM,0.820938,Entinostat,1.00E-06
273,Entinostat_1μM,0.831815,Entinostat,1.00E-06
274,Entinostat_1μM,0.813217,Entinostat,1.00E-06
275,Entinostat_1μM,1.295667,Entinostat,1.00E-06
276,Entinostat_1μM,1.240188,Entinostat,1.00E-06
277,Entinostat_1μM,0.912578,Entinostat,1.00E-06
278,Entinostat_1μM,1.156029,Entinostat,1.00E-06
279,Entinostat_1μM,0.820445,Entinostat,1.00E-06
280,Entinostat_1μM,0.833797,Entinostat,1.00E-06
281,Entinostat_1μM,0.894799,Entinostat,1.00E-06
282,Entinostat_1μM,0.960795,Entinostat,1.00E-06
283,Entinostat_1μM,1.003104,Entinostat,1.00E-06
284,Entinostat_1μM,1.00567,Entinostat,1.00E-06
285,Entinostat_1μM,1.087378,Entinostat,1.00E-06
286,Entinostat_1μM,1.307761,Entinostat,1.00E-06
287,Entinostat_1μM,0.811983,Entinostat,1.00E-06
288,Entinostat_1μM,1.496929,Entinostat,1.00E-06
289,Entinostat_2.5μΜ,0.854705,Entinostat,2.50E-06
290,Entinostat_2.5μΜ,0.968869,Entinostat,2.50E-06
291,Entinostat_2.5μΜ,1.082424,Entinostat,2.50E-06
292,Entinostat_2.5μΜ,1.099557,Entinostat,2.50E-06
293,Entinostat_2.5μΜ,0.944752,Entinostat,2.50E-06
294,Entinostat_2.5μΜ,0.858907,Entinostat,2.50E-06
295,Entinostat_2.5μΜ,1.054147,Entinostat,2.50E-06
296,Entinostat_2.5μΜ,1.311556,Entinostat,2.50E-06
297,Entinostat_2.5μΜ,0.760766,Entinostat,2.50E-06
298,Entinostat_2.5μΜ,1.470942,Entinostat,2.50E-06
299,Entinostat_5μM,1.059203,Entinostat,5.00E-06
300,Entinostat_5μM,1.145586,Entinostat,5.00E-06
301,Entinostat_5μM,0.914815,Entinostat,5.00E-06
302,Entinostat_5μM,1.055025,Entinostat,5.00E-06
303,Entinostat_5μM,0.867814,Entinostat,5.00E-06
304,Entinostat_5μM,0.842993,Entinostat,5.00E-06
305,Entinostat_5μM,0.881999,Entinostat,5.00E-06
306,Entinostat_5μM,0.593037,Entinostat,5.00E-06
