,Plate,Well,tags,Concentration,BATCH_ID,CPD_ID,Target,mahalanobis_from_pos,mahalanobis_from_neg,Cell_Neurites_LengthPerNuclei_MAP2,Nuclei_Number_Living,Nuclei_Surface_MeanArea,Nuclei_Living_Ratio_TH_SNCA,Nuclei_Living_Ratio_SNCA,Nuclei_Living_Ratio_MAP2_SNCA,Nuclei_Living_Ratio_MAP2,Membrane_Surface_SurfacePerNuclei_SNCA,Membrane_Surface_SurfacePerNuclei_MAP2,Membrane_Intensity_MeanIntensity_TH,Membrane_Intensity_MeanIntensity_SNCA,IndividualCell_Surface_MeanSurface_SNCA,IndividualCell_Intensity_SumIntensity_SNCA,IndividualCell_Intensity_RadialProfile_Minimum_SNCA,IndividualCell_Intensity_RadialProfile_MaxSlope_SNCA,IndividualCell_Intensity_RadialProfile_InterceptFit_SNCA,IndividualCell_Intensity_MeanIntensity_SNCA,Cell_TH_SNCA_Intensity_SumIntensityPerNuclei_SNCA,Cell_Surface_RatioSurface_TH_SNCA,Cell_SurfacePerNuclei_TH_SNCA,Cell_SurfacePerNuclei_TH,Cell_SurfacePerNuclei_MAP2,Cell_Neurites_LengthPerNuclei_TH,Cell_Neurites_BranchingPointsPerNuclei_TH,Cell_Neurites_BranchingPointsPerNuclei_MAP2,Cell_Intensity_SumIntensityPerNuclei_SNCA,Cell_Intensity_MeanIntensity_MAP2,Cell_Correlation_VanSteelselsSigmaX_TH_SNCA,Cell_Correlation_VanSteelselsMeanY_TH_SNCA,Cell_Correlation_VanSteelselsMeanX_TH_SNCA,Cell_Correlation_MAP2_SNCA,IndividualCell_Intensity_RadialProfile_Mean_SNCA,Cell_Texture_SNCA_AngularSecondMoment_000,IndividualCell_Intensity_RadialProfile_Median_SNCA,Nuclei_Ratio_Living,IndividualCell_Intensity_RadialProfile_SlopeFit_SNCA,Cell_Correlation_TH_SNCA,Cytoplasm_SurfacePerNuclei_SNCA,Cell_Intensity_MeanIntensity_SNCA,Cell_SurfacePerNuclei_SNCA,Cytoplasm_Intensity_MeanIntensity_SNCA,Nuclei_Number_Living_median,Cell_Neurites_LengthPerNuclei_MAP2_median,Nuclei_Number_Living_std,Cell_Neurites_LengthPerNuclei_MAP2_std,non_toxic,exp_condition
1686,PD-SC2-04,J05,Mut;Tyrphostin 9 ,5e-06,S2895-01,Tyrphostin 9 ,PDGFR#EGFR,6.313102161232645,5.381049520175725,2.117727133129882,2038.0,-1.785095075432079,-1.4331910739824316,-2.9862458426186635,-3.5873214090341503,-3.556860001824881,5.501118481556778,1.1544587678127722,0.6265535685680033,0.4967745397449016,-0.2882765043962933,0.4030913390215708,-0.0900890991090163,-0.6731760455903842,2.227953979724378,4.20642436216235,1.61620355309408,2.8028570105575104,1.2731476769889003,-0.3876901417499677,0.3794324442234901,-1.245667691528319,-3.3605581502590702,0.0585449274200554,2.587597801372591,3.700572816740051,-1.2675481020022386,-1.2901446376551893,-4.368233563246785,0.6155228925059655,1.448174553822315,4.417716978077985,0.9072108070830238,-6.571966328650559,-0.9164273640391368,0.2123243328079942,0.7723286666637215,1.5195643972737107,2.5496589832279803,0.1050182971582252,2696.5,-0.32187234560591294,280.1699159763264,1.098398380003406,True,Mut;Compound
1744,PD-SC2-04,L22,Mut;Sertraline HCl,5e-06,S4053-01,Sertraline HCl,5-HT Receptor,25.452670539908908,4.46147540375401,0.6505510072517706,1883.0,1.030318073352216,3.0534948128305883,1.437129903961642,0.7763684585812289,-0.2573070957145921,11.023929591738938,0.2359249899122898,0.2571900774781894,-4.207334684954776,13.101077504091188,13.952407859842952,23.372676273237136,-10.690778540915092,17.436521053753324,12.063426099397088,18.01645428505685,10.454412854232269,17.517852563189237,4.747035876750576,2.652942787861569,1.8498276777317595,2.161901434159804,0.4450322985764576,18.26693150152373,1.7941282833441454,-4.667815114311329,-1.0982146100255956,-1.5674994871613883,-0.0947678251422946,11.669239926709478,5.173468718146144,13.019322123283498,1.576077550971584,-13.281776568322782,-5.187744985841993,35.03851879994876,5.689218078016141,20.28524522401039,0.8776619973151566,2696.5,-0.32187234560591294,280.1699159763264,1.098398380003406,True,Mut;Compound
2062,PD-SC3-01,G17,Mut;Duloxetine,5e-06,S5071-01,Duloxetine,5-HT Receptor,25.43258928491185,4.118732606228615,1.3573439416891635,2516.0,0.427487421479185,-2.479192760905552,-1.1666617131308452,-2.050312519999148,-3.338864640883977,22.296807312305862,2.07573447773274,-2.6123508338168877,-2.3447487914681706,6.149568577749078,5.111988124616877,15.117816243601192,-8.601528118347662,11.41305580778746,8.181213141121102,13.128888465645344,8.16812136443303,14.724886603686594,4.680365541950168,3.704523398933065,4.222325972196029,8.713557867639173,2.3382423110610504,12.836567782465137,-6.254404918009678,-0.1203432352600889,0.054330608090401,-0.5307286814782949,0.0449701668479016,6.555105394152461,0.0995155942024316,6.137133471422093,-2.401768859766162,-9.884597178926656,-0.0368838247305178,20.004575674179502,3.064809222301945,18.855525167910287,0.1559734958407339,2668.5,-0.27156279834105806,289.0832296006873,0.45812913786030596,True,Mut;Compound
2397,PD-SC3-03,I18,Mut;Duloxetine,5e-06,S5071-01,Duloxetine,5-HT Receptor,28.911967547688302,5.573439196041496,-1.2517865628950835,2917.0,0.3696152645543946,-0.2939786295977736,0.8279583592526195,0.2243054761632519,-1.2701945211386054,42.268579646050384,0.7751870331348639,-0.4759958307916198,-2.893970602003557,9.937664174838636,12.342450125148032,22.0138845061536,-4.938104616054185,9.038218952689812,3.836912969336834,22.363037014693845,14.393387945968202,15.691965353878553,7.59293086977796,3.1383465066635896,4.303674168428377,6.270145830480625,0.9100148920327618,29.21212748215908,-4.560223275285634,-0.5014908065032985,0.7243561692149928,0.5259181260622179,-4.091272969858691,4.920129624692363,-0.5466665012007966,5.898478405152284,-1.333768527762848,-6.062877891680691,-0.6670996380249434,24.91605777327293,4.992609041134664,22.482179293531544,4.5197667014303375,2612.0,-0.0213042581617008,243.98148215871558,1.5965197112612388,True,Mut;Compound
2853,PD-SC4-01,F07,Mut;TIC10,5e-06,S7963-01,TIC10,Akt,1.4229845927087692,5.696168959315163,-3.4110265509427475,3621.0,-6.464608600702012,0.5254921088749533,-2.77684536418447,-2.8441901025688097,-3.0594403866377817,-0.8694623493436926,-6.400288946188631,5.0583693857801535,4.788615914341039,0.5914300626217905,3.106050697731127,101.90149253735288,-1.464748805649201,5.0175569523838845,1.3421033570519467,-2.979676613547812,0.3565481992374978,-6.136737953815852,-5.030369045358701,-3.4544854378792884,-3.9716123991547656,-2.7553128546126087,-6.605306200307645,-1.7606624932444608,0.0640055902243883,-0.7023123424940859,0.3554606481781143,1.969546056242533,-2.367450980392157,1.2051370751535069,0.1402428633467646,1.8702897970441956,1.9354895586192788,-1.171573919678942,-1.095607516209108,-0.5571337806374832,2.7798264285035725,-3.778788582037592,6.730880413252387,3641.0,1.5956860062422522,305.2667090207572,1.5654313736288084,True,Mut;Compound
2995,PD-SC4-01,N08,Mut;PIK-III,5e-06,S7683-01,PIK-III,Autophagy#PI3K,33.01854759772456,6.888494341539196,4.727286331181325,2859.0,-0.4453555456078202,-0.0679651197484393,0.2812774971484322,-2.0609953474439964,-4.787145787958381,5.759643793019806,-2.491562253002838,4.079189673820231,4.088644939147311,7.439648592112635,11.846632158810031,306.7253731344505,-7.698270659231728,26.31680220346677,11.50932476106054,32.024705552907754,8.854296474971932,17.808676199190465,0.7684297834494187,0.812584109895131,-1.2280774444056417,-0.9089464780932356,6.391548392595514,21.792278418303013,0.4932195481997091,-0.8646029371427576,-2.743042590686232,-0.8524763503696764,0.7662588235294123,11.017049455776432,2.8757189792190045,12.603961834936392,0.3027551882108776,-14.10648616567278,-0.543056596883656,34.353245398867294,17.220079515196204,16.34531047972681,1.1756924271182674,3641.0,1.5956860062422522,305.2667090207572,1.5654313736288084,True,Mut;Compound
3019,PD-SC4-01,I22,Mut;Ensartinib dihydrochloride,5e-06,S2934-01,Ensartinib dihydrochloride,ALK,24.208008832628188,4.540546515497456,7.164714181880373,2796.0,-0.9645102854489208,1.7207659956464554,-3.4771060778882306,-4.586159249793463,-5.629648359605327,2.8514154038245136,1.8904116511395863,2.192811806227585,26.72149306784252,10.181948642306624,23.29097438512098,282.76119402996187,-4.971593834895758,25.501581048954822,12.37225922387359,30.25418419935056,4.035683660501674,9.967994447976928,0.2623789585186197,1.5237031206358045,-0.7503418231753151,-3.1248064271724427,2.441046953825426,25.73233426409656,5.611156743004816,-1.4018114284430188,-3.892317399137616,-1.0888838665934848,-2.784643137254903,13.551241027415031,6.886837847395918,15.539480435511182,-3.6302504632193062,-8.182805301981176,-1.114673856039034,19.74339918474317,28.89381325874041,13.390166760600724,7.232263115829073,3641.0,1.5956860062422522,305.2667090207572,1.5654313736288084,True,Mut;Compound
3037,PD-SC4-01,I17,Mut;RG2833,5e-06,S7292-01,RG2833,HDAC,25.80830639939132,4.0288848201569305,4.614669288982003,3495.0,0.8386500269843986,1.7474788095466651,2.638553038944104,1.5722595575482017,-0.0122473608293664,7.679952521641621,6.905325420785983,-0.8283642625377164,-2.9849230047433712,13.840885878174271,16.15649349929617,39.30447761195359,-3.0549996902139527,14.125460658424185,8.402818640554344,28.257006737372297,4.623966674480871,22.969149827080848,5.369175269064344,6.231470431404407,1.4369713578814658,1.5293586251921394,9.312856394917029,20.74674608178707,-0.0376503471908179,1.7180351873208584,-1.6911076302567156,0.03198753753269,2.8399215686274517,7.785065665114098,-2.355778128372721,9.598685517859105,0.2459068117210719,-4.288856230393126,2.076397440728467,40.15850318136972,8.855171168357952,21.372157941849267,-0.5656630183150124,3641.0,1.5956860062422522,305.2667090207572,1.5654313736288084,True,Mut;Compound
3097,PD-SC4-02,K21,Mut;GSK1324726A,5e-06,S7620-01,GSK1324726A,Epigenetic Reader Domain,10.858277228058112,4.4474788741291365,3.874872692324244,2926.0,-1.254941339468434,2.559915733342112,-3.106418514507214,-2.6022174895547154,-3.613907565701058,-2.493316102848172,1.0530393216241467,11.587490447005214,1.3057503029527386,-0.7126525228097179,0.4475719082817723,0.0209010682770414,-4.845016570739912,12.26142355712981,12.041289829714875,2.915954356465249,-1.129890053694707,-0.3443922984000789,-0.9866735977543288,0.787514255630229,-1.5324067068497458,-4.275192378160498,-0.3049494706893042,4.208845408966679,4.551199403396555,-3.6840276174018314,-6.125398840820359,-3.5755322866063275,3.154343833158256,5.263476632340003,7.96172925555339,3.50578640882622,-5.707939198582552,-6.434576776994032,-3.714159231268622,1.087729390717712,7.099488561568969,1.6663218372511286,0.258646728055002,3086.5,1.1060921205514032,158.33133172578516,1.0087145063206324,True,Mut;Compound
3140,PD-SC4-02,N05,Mut;Trifluoperazine,5e-06,S5856-01,Trifluoperazine,Dopamine Receptor,26.232189536627114,4.206824267115826,4.221034814166655,2892.0,3.824814103949258,-0.0224952476567461,-0.2997605882688275,0.0955438864593347,-1.5745975685183262,10.173084108305252,0.5051861077025442,2.9416930154496117,1.617065737744911,10.44355793246432,10.73876322363802,55.09939619136032,-11.8241746141251,23.34487843187537,15.560055693831782,19.494159251234887,11.324520582971106,13.096370418720587,2.4511514269376726,4.768473790949247,0.769457152181754,0.3028767174048198,4.439641953184178,20.898921247443397,0.6174650006413936,-0.560130779113197,-0.9227639653633912,-2.597175415065204,4.780454811580176,8.679205942045794,0.2947602646843527,5.837216850546189,-0.7367042440954097,-16.067851329354312,0.9690772060659532,37.33644375832505,10.525234279515956,18.090048223067505,0.8457357829722244,3086.5,1.1060921205514032,158.33133172578516,1.0087145063206324,True,Mut;Compound
3150,PD-SC4-02,N15,Mut;VPS34 inhibitor 1,5e-06,S8456-01,VPS34 inhibitor 1,PI3K,24.193238985477933,4.386468200840029,1.0132256537518107,3295.0,0.9926505916896544,0.349653963577712,-1.230285583993618,-2.0697029799548035,-3.366532423893416,9.793830617932274,-1.2144160973852742,1.6477005379647256,-1.3459200364743087,10.85570504970972,10.049912226450722,6.934974454250023,-12.300235486399073,20.99942301219688,12.85303974962418,15.21826008662984,9.107358731782153,11.600140587573357,1.9454260019753609,2.3020324110667434,-0.132831549251537,0.1530502591804211,0.0011639292774394,16.265715216565006,0.3642564090299326,-3.055777617725927,-3.286219494231491,-1.5576289717203362,4.798513693172332,9.534166926552256,-1.158839774977473,7.023748414635812,-3.2904558188766617,-15.089283776451438,-3.153194862916784,35.89060389885965,6.556842739328953,16.025909951776942,-0.0037990984271681,3086.5,1.1060921205514032,158.33133172578516,1.0087145063206324,True,Mut;Compound
3201,PD-SC4-02,E05,Mut;SKL2001,5e-06,S8320-01,SKL2001,Wnt/beta-catenin,23.068160663908724,4.049301530147867,0.9301708433147328,3374.0,-0.560319296327841,3.897444844016162,0.4605426665906639,0.9266879094796048,-1.1407778884773967,5.265494582337838,-0.9461304127519042,4.820823280835559,2.830832390147135,10.04920354525259,12.169861277903877,6.358104969809572,-4.72058649042383,24.188723093936822,21.224709825279074,18.016407217037315,4.791991817949375,9.932512057747228,-0.1589187503248931,0.9071439246154888,-2.115617007110426,-3.3492327518414364,-0.8647163153324592,18.81272964216547,2.8307898690472832,-1.1714783154947956,-3.6940140703615456,-3.198737615671598,1.236145663141831,18.418531175657087,2.142079737765349,13.72661093458072,-1.0336777877703036,-8.144777536625067,0.4935744843773412,29.54058241996335,13.736754671347825,13.597568156860254,2.085268653587539,3086.5,1.1060921205514032,158.33133172578516,1.0087145063206324,True,Mut;Compound
3234,PD-SC4-02,C17,Mut;Thiothixene,5e-06,S9467-01,Thiothixene,None,27.03947361681745,4.536187500693333,-0.2450762411601863,3243.0,1.677937793143775,3.980493585365252,2.02834748902696,-1.2428021004373215,-3.334279617154432,17.153651823083592,-1.7830625812714056,5.683964455366891,3.0126040337707325,17.224582088140483,15.95387134988477,42.40826753367372,-8.396424582374022,17.34228198676134,14.841531333941196,21.432957091001423,7.216415239069292,14.224709742777902,2.761877631647345,-0.3229060063153801,-0.7644513079403983,-1.542669043688061,-0.3558298076745436,25.55692410722366,-2.0231249062371592,0.5028069469088579,-1.8852117554109051,-0.8697467341441134,3.818362822038432,8.292136977936128,-0.6366335276568321,5.172664911969672,0.5931187092642148,-9.900678241996744,1.4331563264694622,51.92471971410709,10.93191784474239,22.772746805022848,0.934911917674792,3086.5,1.1060921205514032,158.33133172578516,1.0087145063206324,True,Mut;Compound
3252,PD-SC4-02,G16,Mut;PIK-III,5e-06,S7683-01,PIK-III,Autophagy#PI3K,26.51981565144004,5.350697206683277,4.747851907104845,3032.0,-2.8342226685139797,2.38737975131461,-2.2895798894145845,-2.124059111378455,-3.9999309176830233,9.09834059458885,-0.3842237321660776,1.4901772736127397,0.8260171413259536,9.567572749513642,10.23366159182066,28.145378541569663,-10.264023778548614,21.507653102110822,17.031333941201105,15.148501851700274,6.750621324469446,9.291574492215997,0.4972667255809122,2.4269807725855483,-0.8759932960948699,-1.5370119523552686,4.384771001533429,18.234257633622327,0.8258631073386171,-0.1565571328009158,-4.970251131240996,-1.9018000247968347,3.0993048260585616,10.8946393903819,2.232806161581109,8.737758260940724,-2.4959031718060016,-12.509115572436246,1.2416705508298242,41.13025443187959,9.528761100599096,15.947034201772958,0.9967627802441172,3086.5,1.1060921205514032,158.33133172578516,1.0087145063206324,True,Mut;Compound
3273,PD-SC4-02,H17,Mut;RG2833,5e-06,S7292-01,RG2833,HDAC,27.12068223127789,4.444850188916429,1.1554086038472011,3344.0,2.741560637067354,1.87733605444416,1.3690075813714917,0.901302206109477,-0.6888500060986754,10.756032098062942,1.1189721799967025,18.264606716317235,0.243520010878304,11.94903763315788,11.94038369414142,17.97073850441243,-5.749643979438931,16.721058452069943,15.133110722294774,19.668354383860727,4.69466632574789,15.22503167650681,6.656397567188229,4.751904018056281,1.1809964411064875,0.4562110663246608,1.229857557226523,18.9982533620518,0.4288304702600568,-1.300833629803771,-1.9097539330178717,-2.571558030229595,4.225245657012296,9.53651814273516,-0.1144972717914021,8.33341061273474,-0.5610880899557175,-7.100366250678242,-0.1371206698516798,37.235283782524526,8.31314038996326,17.748189645568416,1.0482816352665854,3086.5,1.1060921205514032,158.33133172578516,1.0087145063206324,True,Mut;Compound
