Well,Treatment/ID,Timepoint (h),Mean Firing Rate (Hz)
D8,WT TIC10,8,0.000104
E1,WT Tyr9,8,0
E2,WT TIC10,8,0.000104
E3,WT DMSO,8,0.036369
E4,WT Tyr9,8,0
E5,WT TIC10,8,0
E6,WT DMSO,8,0.000104
E7,WT Tyr9,8,0
E8,WT TIC10,8,0
F1,WT Tyr9,8,0
F2,WT TIC10,8,0
F3,WT DMSO,8,0.176845
F4,WT Tyr9,8,0
F5,WT TIC10,8,0.000104
F6,WT DMSO,8,0
F7,WT Tyr9,8,0
F8,WT TIC10,8,0
A1,Tripli Tyr9,24,0
A2,Tripli TIC10,24,0
A3,Tripli DMSO,24,0
A4,Tripli Tyr9,24,0.000104
A5,Tripli TIC10,24,0
A6,Tripli DMSO,24,0
A7,Tripli Tyr9,24,0
A8,Tripli TIC10,24,0
B1,Tripli Tyr9,24,0
B2,Tripli TIC10,24,0
B3,Tripli DMSO,24,0
B4,Tripli Tyr9,24,0.000104
B5,Tripli TIC10,24,0
B6,Tripli DMSO,24,0
B7,Tripli Tyr9,24,0
B8,Tripli TIC10,24,0
C1,Tripli Tyr9,24,0
C2,Tripli TIC10,24,0.002189
C3,Tripli DMSO,24,0
C4,Tripli Tyr9,24,0
C5,Tripli TIC10,24,0
C6,Tripli DMSO,24,0.000104
C7,Tripli Tyr9,24,0
C8,Tripli TIC10,24,0.056401
D1,WT Tyr9,24,0.000313
D2,WT TIC10,24,0
D3,WT DMSO,24,0
D4,WT Tyr9,24,0.000104
D5,WT TIC10,24,0.000104
D6,WT DMSO,24,0.156902
D7,WT Tyr9,24,0
D8,WT TIC10,24,0.005004
E1,WT Tyr9,24,0.000104
E2,WT TIC10,24,0
E3,WT DMSO,24,0.021059
E4,WT Tyr9,24,0
E5,WT TIC10,24,0
E6,WT DMSO,24,0.000104
E7,WT Tyr9,24,0
E8,WT TIC10,24,0
F1,WT Tyr9,24,0
F2,WT TIC10,24,0
F3,WT DMSO,24,0.024291
F4,WT Tyr9,24,0
F5,WT TIC10,24,0
F6,WT DMSO,24,0
F7,WT Tyr9,24,0
F8,WT TIC10,24,0.000313
A1,Tripli Tyr9,48,0
A2,Tripli TIC10,48,0
A3,Tripli DMSO,48,0
A4,Tripli Tyr9,48,0
A5,Tripli TIC10,48,0
A6,Tripli DMSO,48,0
A7,Tripli Tyr9,48,0.000104
A8,Tripli TIC10,48,0
B1,Tripli Tyr9,48,0
B2,Tripli TIC10,48,0
B3,Tripli DMSO,48,0
B4,Tripli Tyr9,48,0
B5,Tripli TIC10,48,0.000104
B6,Tripli DMSO,48,0.008542
B7,Tripli Tyr9,48,0.000104
B8,Tripli TIC10,48,0
C1,Tripli Tyr9,48,0
C2,Tripli TIC10,48,0.001146
C3,Tripli DMSO,48,0.000104
C4,Tripli Tyr9,48,0
C5,Tripli TIC10,48,0
C6,Tripli DMSO,48,0
C7,Tripli Tyr9,48,0
C8,Tripli TIC10,48,0
D1,WT Tyr9,48,0.000417
D2,WT TIC10,48,0
D3,WT DMSO,48,0
D4,WT Tyr9,48,0
D5,WT TIC10,48,0.000104
D6,WT DMSO,48,0
D7,WT Tyr9,48,0.000521
D8,WT TIC10,48,0.000104
E1,WT Tyr9,48,0
E2,WT TIC10,48,0
E3,WT DMSO,48,0.049583
E4,WT Tyr9,48,0
E5,WT TIC10,48,0
E6,WT DMSO,48,0.000104
E7,WT Tyr9,48,0
E8,WT TIC10,48,0
F1,WT Tyr9,48,0.000312
F2,WT TIC10,48,0.000104
F3,WT DMSO,48,0.008333
F4,WT Tyr9,48,0
F5,WT TIC10,48,0
F6,WT DMSO,48,0
F7,WT Tyr9,48,0
F8,WT TIC10,48,0.005417
A1,Tripli Tyr9,72,0
A2,Tripli TIC10,72,0
A3,Tripli DMSO,72,0.000104
A4,Tripli Tyr9,72,0
A5,Tripli TIC10,72,0.000104
A6,Tripli DMSO,72,0
A7,Tripli Tyr9,72,0
A8,Tripli TIC10,72,0
B1,Tripli Tyr9,72,0
B2,Tripli TIC10,72,0.000104
B3,Tripli DMSO,72,0
B4,Tripli Tyr9,72,0
B5,Tripli TIC10,72,0
B6,Tripli DMSO,72,0.000208
B7,Tripli Tyr9,72,0
B8,Tripli TIC10,72,0
C1,Tripli Tyr9,72,0
C2,Tripli TIC10,72,0
C3,Tripli DMSO,72,0
C4,Tripli Tyr9,72,0.000104
C5,Tripli TIC10,72,0
C6,Tripli DMSO,72,0
C7,Tripli Tyr9,72,0
C8,Tripli TIC10,72,0
D1,WT Tyr9,72,0
D2,WT TIC10,72,0
D3,WT DMSO,72,0
D4,WT Tyr9,72,0
D5,WT TIC10,72,0
D6,WT DMSO,72,0.033854
D7,WT Tyr9,72,0.001458
D8,WT TIC10,72,0
E1,WT Tyr9,72,0
E2,WT TIC10,72,0
E3,WT DMSO,72,0.012812
E4,WT Tyr9,72,0.005625
E5,WT TIC10,72,0
E6,WT DMSO,72,0
E7,WT Tyr9,72,0.000104
E8,WT TIC10,72,0.000104
F1,WT Tyr9,72,0
F2,WT TIC10,72,0
F3,WT DMSO,72,0.003438
F4,WT Tyr9,72,0.000104
F5,WT TIC10,72,0
F6,WT DMSO,72,0
F7,WT Tyr9,72,0
F8,WT TIC10,72,0.028542
