,Well,Plate,tags,Cell_Correlation_MAP2_SNCA,Cell_Correlation_TH_SNCA,Cell_Correlation_VanSteelselsMeanX_TH_SNCA,Cell_Correlation_VanSteelselsMeanY_TH_SNCA,Cell_Correlation_VanSteelselsSigmaX_TH_SNCA,Cell_Correlation_VanSteelselsSigmaY_TH_SNCA,Cell_Intensity_MeanIntensity_MAP2,Cell_Intensity_MeanIntensity_SNCA,Cell_Intensity_MeanIntensity_TH,Cell_Intensity_SumIntensityPerNuclei_SNCA,Cell_MAP2_SNCA_Intensity_MeanIntensity_SNCA,Cell_Neurites_BranchingPointsPerNuclei_MAP2,Cell_Neurites_BranchingPointsPerNuclei_TH,Cell_Neurites_LengthPerNuclei_MAP2,Cell_Neurites_LengthPerNuclei_TH,Cell_Neurites_Length_MAP2,Cell_Neurites_Length_TH,Cell_SurfacePerNuclei_MAP2,Cell_SurfacePerNuclei_MAP2_SNCA,Cell_SurfacePerNuclei_SNCA,Cell_SurfacePerNuclei_TH,Cell_SurfacePerNuclei_TH_SNCA,Cell_Surface_RatioSurface_TH_SNCA,Cell_Surface_TotalSurface_MAP2,Cell_Surface_TotalSurface_SNCA,Cell_Surface_TotalSurface_SNCA_MAP2,Cell_Surface_TotalSurface_TH,Cell_Surface_TotalSurface_TH_SNCA,Cell_TH_SNCA_Intensity_MeanIntensity_SNCA,Cell_TH_SNCA_Intensity_MeanIntensity_TH,Cell_TH_SNCA_Intensity_SumIntensityPerNuclei_SNCA,Cell_Texture_SNCA_AngularSecondMoment_000,Cell_Texture_SNCA_AngularSecondMoment_045,Cell_Texture_SNCA_AngularSecondMoment_090,Cell_Texture_SNCA_AngularSecondMoment_135,Cell_Texture_SNCA_Contrast_000,Cell_Texture_SNCA_Contrast_045,Cell_Texture_SNCA_Contrast_090,Cell_Texture_SNCA_Contrast_135,Cell_Texture_SNCA_Correlation_000,Cell_Texture_SNCA_Correlation_045,Cell_Texture_SNCA_Correlation_090,Cell_Texture_SNCA_Correlation_135,Cell_Texture_SNCA_DifferenceEntropy_000,Cell_Texture_SNCA_DifferenceEntropy_045,Cell_Texture_SNCA_DifferenceEntropy_090,Cell_Texture_SNCA_DifferenceEntropy_135,Cell_Texture_SNCA_DifferenceVariance_000,Cell_Texture_SNCA_DifferenceVariance_045,Cell_Texture_SNCA_DifferenceVariance_090,Cell_Texture_SNCA_DifferenceVariance_135,Cell_Texture_SNCA_Entropy_000,Cell_Texture_SNCA_Entropy_045,Cell_Texture_SNCA_Entropy_090,Cell_Texture_SNCA_Entropy_135,Cell_Texture_SNCA_InfoMeasuresOfCorr1_000,Cell_Texture_SNCA_InfoMeasuresOfCorr1_045,Cell_Texture_SNCA_InfoMeasuresOfCorr1_090,Cell_Texture_SNCA_InfoMeasuresOfCorr1_135,Cell_Texture_SNCA_InfoMeasuresOfCorr2_000,Cell_Texture_SNCA_InfoMeasuresOfCorr2_045,Cell_Texture_SNCA_InfoMeasuresOfCorr2_090,Cell_Texture_SNCA_InfoMeasuresOfCorr2_135,Cell_Texture_SNCA_InverseDiffMoment_000,Cell_Texture_SNCA_InverseDiffMoment_045,Cell_Texture_SNCA_InverseDiffMoment_090,Cell_Texture_SNCA_InverseDiffMoment_135,Cell_Texture_SNCA_SumAverage_000,Cell_Texture_SNCA_SumAverage_045,Cell_Texture_SNCA_SumAverage_090,Cell_Texture_SNCA_SumAverage_135,Cell_Texture_SNCA_SumEntropy_000,Cell_Texture_SNCA_SumEntropy_045,Cell_Texture_SNCA_SumEntropy_090,Cell_Texture_SNCA_SumEntropy_135,Cell_Texture_SNCA_SumOfSquares_000,Cell_Texture_SNCA_SumOfSquares_045,Cell_Texture_SNCA_SumOfSquares_090,Cell_Texture_SNCA_SumOfSquares_135,Cell_Texture_SNCA_SumVariance_000,Cell_Texture_SNCA_SumVariance_045,Cell_Texture_SNCA_SumVariance_090,Cell_Texture_SNCA_SumVariance_135,Cytoplasm_Intensity_MeanIntensity_SNCA,Cytoplasm_MAP2_SNCA_Intensity_MeanIntensity_SNCA,Cytoplasm_SurfacePerNuclei_SNCA,Cytoplasm_SurfacePerNuclei_TH_SNCA,Cytoplasm_Surface_TotalSurface SNCA,Cytoplasm_Surface_TotalSurface_SNCA,IndividualCell_Intensity_MeanIntensity_SNCA,IndividualCell_Intensity_RadialProfile_InterceptFit_SNCA,IndividualCell_Intensity_RadialProfile_MaxSlope_SNCA,IndividualCell_Intensity_RadialProfile_Maximum_SNCA,IndividualCell_Intensity_RadialProfile_MeanCoeffVar_SNCA,IndividualCell_Intensity_RadialProfile_MeanGradient_SNCA,IndividualCell_Intensity_RadialProfile_Mean_SNCA,IndividualCell_Intensity_RadialProfile_Median_SNCA,IndividualCell_Intensity_RadialProfile_Minimum_SNCA,IndividualCell_Intensity_RadialProfile_Q1_SNCA,IndividualCell_Intensity_RadialProfile_Q3_SNCA,IndividualCell_Intensity_RadialProfile_SlopeFit_SNCA,IndividualCell_Intensity_RadialProfile_StdCoeffVar_SNCA,IndividualCell_Intensity_RadialProfile_Std_SNCA,IndividualCell_Intensity_SumIntensity_SNCA,IndividualCell_Surface_MeanSurface_SNCA,Membrane_Intensity_MeanIntensity_MAP2,Membrane_Intensity_MeanIntensity_SNCA,Membrane_Intensity_MeanIntensity_TH,Membrane_Surface_SurfacePerNuclei_MAP2,Membrane_Surface_SurfacePerNuclei_SNCA,Membrane_Surface_SurfacePerNuclei_TH,Nuclei_Living_Ratio_MAP2,Nuclei_Living_Ratio_MAP2_SNCA,Nuclei_Living_Ratio_SNCA,Nuclei_Living_Ratio_TH,Nuclei_Living_Ratio_TH_SNCA,Nuclei_Number_Big,Nuclei_Number_Dead,Nuclei_Number_Living,Nuclei_Number_MAP2,Nuclei_Number_MAP2_SNCA,Nuclei_Number_SNCA,Nuclei_Number_TH,Nuclei_Number_TH_SNCA,Nuclei_Ratio_Dead,Nuclei_Ratio_Living,Nuclei_Surface_MeanArea
830,H13,Mat67-PD-SCP-04,Mut - DMSO,0.210001,0.163597,40.1022,45.866,16.4693,18.7117,1221.31,836.888,456.762,5493010.0,875.356,6.63665,6.99854,604.537,426.895,583983.0,291569.0,17527.1,6048.85,6563.62,8991.15,4809.31,1.14578,16931200.0,7036200.0,5782700.0,6140950.0,3227050.0,1011.83,470.555,4866230.0,0.00744417,0.00679139,0.00735256,0.00682283,402.417,651.633,406.911,650.285,122264000.0,124205000.0,122356000.0,124185000.0,1.47058,1.579,1.48077,1.5773,6.67812e-05,5.88231e-05,6.82918e-05,5.90746e-05,3.09884,3.16384,3.10887,3.16353,-0.349882,-0.318265,-0.343201,-0.318551,0.850189,0.829852,0.845827,0.82988,0.24782,0.217548,0.240451,0.218085,86.0271,87.0827,86.2266,87.081,2.15168,2.15351,2.14841,2.15347,4587.95,4650.7,4596.29,4650.6,17772.8,17883.7,17793.3,17883.9,616.785,652.299,2651.84,2388.76,2283650.0,2842770.0,833.016,1289.89,-16.5791,2901.63,8.57662,-13.1292,1340.73,1643.51,251.006,943.309,2282.56,-14.5497,6.57186,432.326,8998800.0,9696.0,492.367,606.174,428.64,3725.1,613.725,644.51,0.898605,0.889302,0.997209,0.635349,0.624186,18.0,634.0,1075.0,966.0,956.0,1072.0,683.0,671.0,0.370977,0.629023,2712.69
831,H14,Mat67-PD-SCP-04,WT - DMSO,0.190108,0.137326,32.0134,31.4032,11.196,10.962,1260.19,749.021,429.46,3576560.0,749.871,5.55917,7.4514,537.999,468.7,645599.0,351994.0,16130.2,4577.98,4774.98,9260.4,4252.28,0.871291,19356200.0,6059450.0,5415750.0,6954560.0,3082900.0,800.328,440.767,3403220.0,0.00535409,0.00490638,0.00526271,0.00489141,432.649,695.304,443.34,693.587,116349000.0,118665000.0,115447000.0,118668000.0,1.50261,1.60786,1.5158,1.60789,6.48039e-05,5.71662e-05,6.59702e-05,5.71681e-05,3.1391,3.20179,3.15041,3.20229,-0.342535,-0.312655,-0.334738,-0.312373,0.848658,0.829041,0.84347,0.828767,0.232702,0.204582,0.224475,0.204339,87.043,88.1663,87.2062,88.1653,2.16768,2.16921,2.16401,2.16938,4516.03,4580.41,4521.95,4580.3,17464.3,17575.0,17472.6,17575.4,566.361,575.16,958.495,938.708,1110490.0,1216330.0,712.249,1028.86,-11.3895,2233.3,9.9535,-9.28631,1029.26,1281.96,251.007,769.452,1760.52,-10.2528,7.58314,302.67,5096800.0,6519.89,522.313,646.841,345.763,3616.8,305.765,593.594,0.941915,0.928571,0.996075,0.589482,0.569074,18.0,572.0,1274.0,1200.0,1183.0,1269.0,751.0,725.0,0.309859,0.690141,2923.8
849,I12,Mat67-PD-SCP-04,Mut - PRO,0.349537,0.0644888,38.1769,40.994,6.18774,6.67525,1084.32,684.271,535.524,4128710.0,697.469,6.15071,8.53257,520.956,480.72,625668.0,295162.0,16345.5,5518.01,6033.73,9874.08,4928.51,1.28384,19630900.0,7783520.0,6582990.0,6062690.0,2962030.0,742.448,541.567,3659160.0,0.00382528,0.00344152,0.00375121,0.00344183,454.752,720.558,458.917,723.382,145297000.0,147433000.0,144704000.0,147397000.0,1.54853,1.65626,1.55848,1.65659,5.81414e-05,5.0549e-05,5.95933e-05,5.0544e-05,3.24116,3.30681,3.25137,3.30694,-0.331476,-0.300308,-0.324762,-0.300234,0.845897,0.823796,0.841161,0.823698,0.210033,0.181167,0.202632,0.181292,91.9586,93.0855,92.1385,93.0857,2.21978,2.21981,2.21657,2.21983,4694.39,4759.01,4699.69,4759.01,18137.4,18247.3,18146.0,18245.9,403.239,407.507,2102.41,1842.95,2198640.0,2712110.0,718.376,1079.85,-14.0147,2206.91,10.4273,-10.3692,1010.95,1266.45,251.0,762.694,1738.79,-11.5113,9.68347,299.118,6952370.0,9526.49,456.081,515.915,498.412,3439.05,572.509,841.678,0.92813,0.921947,0.996909,0.474498,0.464451,32.0,547.0,1294.0,1201.0,1193.0,1290.0,614.0,601.0,0.297121,0.702879,2850.02
850,I13,Mat67-PD-SCP-04,Mut - DMSO,0.291737,0.134088,42.7705,33.915,14.4692,11.7036,1088.12,711.57,495.405,5202010.0,733.814,5.00582,10.1961,457.272,554.094,549641.0,392853.0,16211.3,6740.51,7310.61,10451.9,5665.76,1.29631,19485900.0,9606150.0,8027950.0,7410400.0,3971700.0,811.73,516.742,4599070.0,0.0045927,0.0041563,0.00449526,0.00414925,437.309,708.081,454.871,708.065,149182000.0,150870000.0,148696000.0,150918000.0,1.53109,1.64282,1.54718,1.64213,5.97339e-05,5.17129e-05,6.06395e-05,5.18441e-05,3.21518,3.2824,3.22844,3.28209,-0.329417,-0.296626,-0.321025,-0.296751,0.841911,0.81787,0.835907,0.818207,0.21543,0.185419,0.206591,0.185558,90.3124,91.3454,90.4973,91.3442,2.20127,2.2011,2.19839,2.20118,4593.67,4652.72,4598.92,4652.64,17752.4,17836.5,17752.5,17836.2,457.566,470.921,3298.12,2978.77,3547720.0,4333730.0,740.47,1193.03,-15.7936,2435.13,10.471,-12.217,1113.9,1387.86,251.111,822.054,1914.88,-13.528,9.11367,342.622,10244900.0,13813.6,452.152,522.05,415.041,3267.74,835.074,857.889,0.91268,0.904328,0.997722,0.538345,0.53227,31.0,634.0,1317.0,1202.0,1191.0,1314.0,709.0,701.0,0.324962,0.675038,2748.06
851,I14,Mat67-PD-SCP-04,WT - DMSO,0.315271,0.115461,43.8064,42.3697,12.8148,12.3645,1186.82,670.7,428.901,3028810.0,662.385,5.09123,8.85282,507.377,544.472,572829.0,270058.0,15031.5,4244.22,4515.9,9774.45,4303.12,1.09821,16970600.0,5324250.0,4740790.0,4848130.0,1988040.0,666.635,438.615,2868610.0,0.0043405,0.00394975,0.00425099,0.00394437,429.166,680.638,431.497,678.129,107170000.0,108823000.0,106384000.0,108848000.0,1.51138,1.61387,1.5221,1.61418,6.35745e-05,5.6108e-05,6.49417e-05,5.60912e-05,3.15314,3.21461,3.16393,3.21498,-0.34062,-0.311663,-0.333273,-0.311446,0.849024,0.830038,0.844154,0.829887,0.227055,0.199612,0.218669,0.199463,86.9159,88.0806,87.1266,88.0804,2.17444,2.17657,2.17104,2.17674,4487.58,4554.61,4497.51,4554.58,17353.7,17481.8,17383.5,17482.9,382.609,381.213,829.035,772.223,862573.0,977432.0,660.338,878.418,-7.86581,1851.88,10.4399,-6.93147,856.813,1077.8,251.003,670.304,1464.85,-7.75524,6.96737,232.589,3981100.0,5811.64,506.491,609.939,404.036,3265.56,274.199,623.611,0.953547,0.943412,0.995777,0.418919,0.390203,17.0,513.0,1184.0,1129.0,1117.0,1179.0,496.0,462.0,0.302298,0.697702,2913.57
869,J12,Mat67-PD-SCP-04,Mut - PRO,0.300476,0.192902,44.7236,42.3625,21.9716,20.7327,1091.58,718.724,539.444,4182980.0,738.954,5.87055,5.9354,497.06,390.092,656616.0,301931.0,15212.7,5321.36,5820.01,9000.55,4534.15,1.17713,20096000.0,8200400.0,6923090.0,6966430.0,3423280.0,808.763,549.685,3667050.0,0.00445081,0.00400344,0.00434025,0.00399379,439.419,713.442,454.577,706.355,138793000.0,140454000.0,138691000.0,140480000.0,1.5296,1.64096,1.54462,1.63875,5.99398e-05,5.19883e-05,6.09173e-05,5.21927e-05,3.20973,3.27676,3.22363,3.27649,-0.336002,-0.303903,-0.327745,-0.304045,0.84742,0.825182,0.841815,0.82525,0.218183,0.188325,0.209368,0.188711,90.4752,91.5683,90.7374,91.5672,2.20523,2.20619,2.20276,2.20601,4650.36,4712.9,4662.07,4712.79,17977.9,18074.3,18005.0,18077.4,499.254,527.813,2116.37,1847.81,2404000.0,2981970.0,721.198,1073.17,-12.2742,2341.0,10.5026,-9.52721,1082.48,1340.52,251.0,797.504,1844.98,-10.9225,9.15905,334.961,6966770.0,8959.66,456.219,530.381,509.629,3473.56,581.187,792.543,0.935552,0.921388,0.997875,0.548159,0.534703,30.0,610.0,1412.0,1321.0,1301.0,1409.0,774.0,755.0,0.301682,0.698318,2733.87
870,J13,Mat67-PD-SCP-04,Mut - DMSO,0.310711,0.279677,38.2054,43.5365,26.8668,30.4519,1216.31,744.815,439.329,5005310.0,762.361,5.47222,7.64696,513.564,457.174,517673.0,278419.0,16942.9,6454.84,6720.21,9214.21,5162.69,1.34489,17078500.0,7546800.0,6429020.0,5611460.0,3071800.0,850.437,457.68,4390540.0,0.00561262,0.00510671,0.00552483,0.00508579,403.675,654.445,415.029,658.719,126550000.0,128488000.0,126211000.0,128478000.0,1.48927,1.59656,1.50244,1.60038,6.48228e-05,5.69432e-05,6.59898e-05,5.65104e-05,3.14515,3.21019,3.15727,3.21259,-0.34359,-0.312188,-0.336121,-0.310905,0.849155,0.828287,0.844187,0.827501,0.235834,0.206348,0.227632,0.205096,86.6011,87.6644,86.8525,87.6654,2.17609,2.17733,2.17316,2.17755,4511.75,4573.39,4522.66,4573.52,17461.7,17567.3,17488.7,17565.7,488.157,500.895,2624.05,2526.24,2516140.0,2946810.0,802.271,1275.46,-17.2581,2660.48,9.00024,-13.2741,1216.85,1515.1,251.005,880.463,2096.14,-14.9409,7.63153,387.39,8589890.0,10830.8,481.898,530.32,401.38,3478.7,650.827,617.128,0.892035,0.881416,0.993805,0.538938,0.526549,19.0,616.0,1130.0,1008.0,996.0,1123.0,609.0,595.0,0.352806,0.647194,2664.21
871,J14,Mat67-PD-SCP-04,WT - DMSO,0.164804,0.0440951,30.9347,40.9135,3.46965,4.49799,1264.71,715.599,456.034,3326780.0,711.915,4.83333,9.78151,498.414,584.389,556230.0,278169.0,16097.1,4453.84,4648.94,10130.5,4516.91,1.12027,17964400.0,5402070.0,4921490.0,4822120.0,2041640.0,820.699,458.111,3707030.0,0.00535814,0.00494309,0.00526078,0.00493381,448.795,707.265,451.716,708.515,117331000.0,119337000.0,116776000.0,119328000.0,1.52233,1.62397,1.53253,1.62483,6.22494e-05,5.51451e-05,6.36811e-05,5.50452e-05,3.16274,3.22402,3.17354,3.22447,-0.335261,-0.306335,-0.327981,-0.306055,0.844743,0.825021,0.839705,0.824815,0.22271,0.195725,0.214664,0.195583,88.0621,89.2376,88.2905,89.2367,2.17154,2.17348,2.16853,2.17355,4518.12,4585.09,4527.65,4584.99,17460.3,17584.2,17487.6,17583.1,644.37,652.855,1073.58,1056.22,1167130.0,1247500.0,679.115,898.987,-8.41156,1984.86,10.7454,-7.50446,922.124,1153.04,251.0,704.788,1571.92,-8.28319,8.79815,258.265,5108490.0,6350.73,534.564,701.745,351.782,3253.49,239.214,540.384,0.959587,0.950129,0.99914,0.409286,0.38865,20.0,481.0,1163.0,1116.0,1105.0,1162.0,476.0,452.0,0.292579,0.707421,2944.3
889,K12,Mat67-PD-SCP-04,Mut - PRO,0.318608,0.0640449,44.8806,40.4818,7.29265,6.53868,1063.93,707.729,569.661,4154040.0,717.935,6.7521,6.14265,544.934,410.775,714409.0,287953.0,15632.3,5443.49,5869.54,9039.2,4599.36,1.30517,20494000.0,8270180.0,7049320.0,6336480.0,3173560.0,760.535,571.66,3497970.0,0.00442076,0.00400359,0.00432651,0.00399773,442.803,709.546,452.325,710.763,132840000.0,134043000.0,132412000.0,134021000.0,1.53042,1.63871,1.54328,1.63956,6.04747e-05,5.27407e-05,6.16487e-05,5.27085e-05,3.20621,3.27111,3.21782,3.27192,-0.335615,-0.304501,-0.328221,-0.30405,0.847036,0.825536,0.842063,0.82513,0.218257,0.189362,0.210079,0.189064,89.509,90.5495,89.7102,90.5509,2.20247,2.20286,2.19949,2.20298,4557.75,4616.21,4564.97,4616.35,17610.7,17694.5,17622.8,17694.4,458.011,466.376,2175.9,2011.68,2605130.0,3065840.0,718.992,1095.71,-14.2075,2235.08,9.43562,-10.3201,1031.52,1280.47,251.116,770.089,1759.52,-11.6356,6.66918,307.66,6982200.0,9344.47,454.329,548.949,472.842,3662.35,593.704,783.933,0.926502,0.915194,0.99576,0.495406,0.487633,34.0,650.0,1415.0,1311.0,1295.0,1409.0,701.0,690.0,0.31477,0.68523,2714.54
890,K13,Mat67-PD-SCP-04,Mut - DMSO,0.316649,0.0916018,40.5068,39.1182,9.31853,8.99774,1310.51,708.187,479.016,4538910.0,714.682,5.2554,9.16528,512.664,539.2,570082.0,322981.0,16534.5,6137.39,6409.19,10156.3,5493.75,1.30531,18386400.0,7940990.0,6738860.0,6083610.0,3158910.0,778.678,476.168,4277870.0,0.00512349,0.00467099,0.00502932,0.00465023,408.652,663.97,424.978,667.286,132421000.0,134326000.0,132182000.0,134352000.0,1.50478,1.61277,1.5191,1.61506,6.28133e-05,5.49835e-05,6.40366e-05,5.46947e-05,3.17332,3.23838,3.18596,3.23984,-0.339319,-0.307942,-0.33173,-0.307103,0.847931,0.826741,0.8429,0.82623,0.226914,0.197711,0.218499,0.197052,87.2806,88.3313,87.5607,88.3326,2.18794,2.18875,2.18512,2.18902,4491.0,4552.01,4504.72,4552.14,17371.8,17472.6,17407.4,17471.4,443.691,454.643,2404.74,2368.56,2600680.0,2979470.0,747.024,1146.44,-14.8561,2322.35,9.81531,-11.3989,1068.73,1328.32,251.004,792.754,1828.4,-12.6502,10.8245,324.1,8496240.0,11284.2,494.894,546.684,412.219,3248.48,522.904,666.192,0.893173,0.881928,0.995181,0.481124,0.461847,17.0,694.0,1245.0,1112.0,1098.0,1239.0,599.0,575.0,0.357916,0.642084,2618.35
891,K14,Mat67-PD-SCP-04,WT - DMSO,0.285946,0.291769,47.8188,47.31,35.0283,34.701,1329.35,695.024,413.155,3059380.0,680.341,5.3316,8.39655,552.366,515.747,636326.0,299133.0,16071.4,4162.85,4401.84,9307.81,4051.51,1.01596,18514200.0,5484690.0,4753970.0,5398530.0,2236430.0,681.022,431.462,2759170.0,0.00517338,0.00473902,0.00506848,0.00474002,413.903,667.693,421.968,656.874,95750400.0,97558900.0,95226200.0,97642600.0,1.48863,1.593,1.50217,1.59022,6.68018e-05,5.91072e-05,6.78807e-05,5.91947e-05,3.11073,3.17244,3.12256,3.17095,-0.342692,-0.313028,-0.334585,-0.31372,0.847434,0.828074,0.842087,0.828601,0.236457,0.208456,0.227606,0.209116,84.4782,85.5786,84.6602,85.5794,2.15026,2.15232,2.14695,2.15238,4367.9,4430.28,4374.87,4430.33,16896.0,17004.4,16911.0,17010.0,423.294,419.436,694.534,704.004,803973.0,865389.0,661.179,887.524,-8.15054,1881.17,10.7656,-7.19083,867.115,1093.18,251.002,677.865,1487.21,-7.87108,8.10705,232.758,3929290.0,5653.98,526.551,739.619,340.927,3632.98,248.98,523.85,0.9216,0.9136,0.9968,0.464,0.4416,11.0,733.0,1250.0,1152.0,1142.0,1246.0,580.0,552.0,0.369642,0.630358,2826.52
909,L12,Mat67-PD-SCP-04,Mut - PRO,0.306839,0.0611361,41.8565,42.3395,6.45714,6.53743,1061.01,716.235,577.131,4482110.0,743.586,5.91479,7.92504,492.58,444.464,676312.0,314236.0,15386.2,5491.84,6257.88,9833.43,4818.13,1.35289,21125200.0,9405590.0,7474390.0,6952230.0,3329330.0,789.079,607.28,3801890.0,0.00467741,0.00421689,0.00458298,0.00421961,456.427,727.567,463.509,731.949,132714000.0,134124000.0,132499000.0,134088000.0,1.53394,1.64316,1.54625,1.64401,5.96058e-05,5.18122e-05,6.07996e-05,5.17838e-05,3.20907,3.2754,3.22081,3.27611,-0.334383,-0.302659,-0.32713,-0.302301,0.846137,0.824002,0.84113,0.82369,0.219462,0.189947,0.21116,0.189784,89.4743,90.5614,89.7335,90.5609,2.20323,2.20394,2.20051,2.20389,4518.01,4579.13,4529.67,4579.12,17444.7,17537.8,17476.7,17535.6,466.736,482.836,2394.55,1926.58,2622080.0,3599010.0,745.6,1136.8,-14.9238,2327.57,9.94326,-11.2592,1068.67,1336.6,251.0,793.75,1837.6,-12.55,8.0003,327.499,8001540.0,10324.8,449.984,559.954,436.202,3470.54,833.041,921.894,0.910477,0.90252,0.996684,0.468833,0.458223,31.0,786.0,1508.0,1373.0,1361.0,1503.0,707.0,691.0,0.342633,0.657367,2752.25
910,L13,Mat67-PD-SCP-04,Mut - DMSO,0.355586,0.088554,32.3919,39.7301,7.33954,8.84422,1382.83,750.021,502.387,4406190.0,756.648,5.76218,6.8096,583.707,462.204,611141.0,298584.0,15923.9,5633.97,5874.75,9209.38,4823.14,1.14745,16672300.0,6826460.0,5797360.0,5949260.0,3048220.0,840.74,506.62,4055000.0,0.00577174,0.00525139,0.005691,0.00525501,412.405,670.645,416.836,660.796,117609000.0,119365000.0,117162000.0,119535000.0,1.49932,1.60744,1.50964,1.60505,6.33966e-05,5.56177e-05,6.49021e-05,5.58295e-05,3.14647,3.21164,3.15719,3.21052,-0.344127,-0.313206,-0.337332,-0.313726,0.849744,0.829404,0.845252,0.829775,0.233317,0.203854,0.225795,0.20445,87.057,88.1621,87.2939,88.1632,2.17597,2.17772,2.17276,2.17779,4582.41,4648.71,4593.41,4648.79,17740.2,17861.2,17771.9,17866.5,433.851,438.629,2057.23,2075.15,2135330.0,2390500.0,796.45,1328.01,-19.3689,2545.84,8.99359,-14.5848,1175.74,1452.8,251.0,850.546,2006.22,-16.1824,6.62121,362.683,7114800.0,8859.35,526.904,575.067,386.529,3382.32,410.665,663.211,0.897942,0.882504,0.996569,0.554031,0.542024,16.0,730.0,1166.0,1047.0,1029.0,1162.0,646.0,632.0,0.385021,0.614979,2650.79
911,L14,Mat67-PD-SCP-04,WT - DMSO,0.318215,0.160279,43.2765,49.5296,17.571,19.9529,1400.95,704.144,462.072,3242470.0,698.442,4.58636,8.39203,487.536,512.161,564567.0,308321.0,15354.4,4427.3,4604.84,9492.86,4266.37,0.993537,17780300.0,5677770.0,5033840.0,5714700.0,2461700.0,724.919,467.114,3092770.0,0.00463566,0.00423563,0.00454583,0.00422972,425.91,685.506,434.757,682.07,100478000.0,102439000.0,99816700.0,102437000.0,1.50338,1.6084,1.51659,1.60806,6.48631e-05,5.7156e-05,6.60251e-05,5.72519e-05,3.14169,3.20436,3.15394,3.20458,-0.344666,-0.314862,-0.33642,-0.314739,0.851143,0.831896,0.84574,0.831796,0.232336,0.204255,0.223751,0.204114,86.714,87.844,86.8801,87.8445,2.17342,2.17506,2.16974,2.17507,4514.98,4580.33,4520.84,4580.4,17465.8,17582.7,17475.7,17584.8,396.409,397.457,838.61,862.06,980162.0,1034010.0,683.194,941.149,-9.18501,1949.02,10.481,-8.00481,903.063,1126.14,251.004,695.716,1536.64,-8.76417,7.38505,244.893,4747150.0,6594.49,545.137,665.596,402.534,3076.97,255.28,560.392,0.936136,0.919159,0.996766,0.486661,0.466451,8.0,686.0,1237.0,1158.0,1137.0,1233.0,602.0,577.0,0.356734,0.643266,2827.14
929,M12,Mat67-PD-SCP-04,Mut - PRO,0.312381,0.208255,50.1338,52.33,26.2122,27.3831,1086.49,704.908,480.437,3950770.0,730.354,6.20122,5.00922,489.562,346.843,720145.0,263254.0,14444.4,4943.57,5604.66,8405.47,4275.68,1.3652,21247700.0,8709650.0,7202780.0,6379750.0,3138350.0,764.413,495.763,3268390.0,0.00442248,0.00398876,0.0043257,0.00397927,461.964,741.127,473.119,738.122,135464000.0,137041000.0,135245000.0,137082000.0,1.54345,1.65302,1.55671,1.65291,5.84149e-05,5.06291e-05,5.94505e-05,5.06646e-05,3.22487,3.29079,3.23695,3.29129,-0.33494,-0.30367,-0.32728,-0.303403,0.847704,0.826093,0.842398,0.825885,0.214974,0.185898,0.206667,0.185709,91.5939,92.7146,91.8062,92.7139,2.2132,2.2141,2.21041,2.21412,4711.5,4776.09,4719.35,4776.05,18205.6,18308.2,18220.2,18309.5,452.856,464.781,2090.42,1660.64,2419550.0,3248520.0,731.79,1088.33,-13.6723,2176.65,10.129,-10.5857,1020.39,1251.71,251.0,754.796,1716.76,-11.7979,9.20399,303.315,6327840.0,8248.55,468.518,538.438,444.072,3300.79,592.448,715.954,0.943554,0.934573,0.996793,0.486851,0.470815,32.0,599.0,1559.0,1471.0,1457.0,1554.0,759.0,734.0,0.277572,0.722428,2732.32
930,M13,Mat67-PD-SCP-04,Mut - DMSO,0.356647,0.311506,47.2818,45.7758,36.8799,35.6867,1128.61,725.342,426.787,5359430.0,749.669,6.31877,9.68775,534.744,541.982,538487.0,274243.0,17184.1,6740.08,7388.83,10295.0,5692.93,1.53897,17304400.0,8016880.0,6713120.0,5209250.0,2829390.0,839.763,443.024,4780710.0,0.00485428,0.00437466,0.0047682,0.00439159,441.682,714.429,457.229,721.371,149740000.0,151916000.0,150036000.0,151860000.0,1.53047,1.64127,1.54409,1.64303,5.96984e-05,5.17858e-05,6.0952e-05,5.16321e-05,3.21021,3.27744,3.22221,3.27857,-0.3339,-0.301513,-0.326371,-0.301005,0.845482,0.822628,0.840194,0.822148,0.219102,0.189278,0.210988,0.189126,91.0575,92.1372,91.279,92.1379,2.20372,2.20405,2.20081,2.20403,4692.05,4753.9,4700.25,4753.97,18140.5,18234.1,18152.8,18230.9,451.302,460.751,3158.12,2756.6,2745570.0,3426560.0,796.712,1332.24,-18.2252,2638.69,9.20419,-14.371,1205.3,1501.53,251.086,874.883,2077.34,-15.8608,6.56859,383.309,10401000.0,13425.0,459.532,533.327,390.145,3540.28,813.496,712.603,0.926403,0.916283,0.99816,0.465501,0.457222,24.0,593.0,1087.0,1007.0,996.0,1085.0,506.0,497.0,0.352976,0.647024,2865.06
